Date,Game,Time,Player,Team,Opp,Pos,Tier_Tag,Talent_Tier,Is_Star,Is_Elite,Points_Line,Assists_Line,SOG_Line,Goal_Line,Matrix_Points,Matrix_Assists,Matrix_SOG,Matrix_Goal,Conf_Points,Conf_Assists,Conf_SOG,Conf_Goal,Points_Odds_Over,Assists_Odds_Over,SOG_Odds_Over,Goal_Odds_Over,Points_Book,Assists_Book,SOG_Book,Goal_Book,Reg_Heat_P,Reg_Gap_P10,Drought_P,Reg_Heat_S,Reg_Gap_S10,Drought_SOG,Goalie_Weak,Opp_DefWeak,Opp_GAA,Opp_PK_xGA60,Opp_SOG_Against_L50,opp_5v5_xGA60,opp_5v5_HDCA60,TOI_per_game,PP_TOI_Pct,iXG%,iXA%,ShotIntent,L10_P,L10_S,L20_A,L40_A,L10_Rate_SOG,Player_5v5_SOG_Share,Assists_mu,Goal_mu,PPP10_total,PP_iXA60,Team_GF_L5,Assist_PP_Proof,Assist_ProofCount,Assist_Dagger,PP_Tier,Best_Conf,Points_mu,L10_Rate_Points,L10_Diff_Points,Exp_P_10,PP_Points60,i5v5_points60,Opp_Goalie,Opp_SV,Drought_PPP,PP_Matchup,PP_TOI_Pct_Game,Drought_A,Reg_Heat_A,Reg_Gap_A10,Exp_A_10,L10_A,PP_Path,v2_player_stability,L20_Rate_SOG,L40_Rate_SOG,Best_Drought,Med10_SOG,Avg5_SOG,ShotIntent_Pct,Exp_S_10,StarScore,Opp_SOG_Against_L10,Team_GF_Avg_L5,Drought_G,ATG_Call,PP_Role,PP_TOI_per_game,PP_TOI_PG,PP_TOI_stability,PP_TeamShare_pct,PP_BOOST,PP_iXG60,Team_PP_xGF60
2026-09-24,SIM@ARENA,7:00 PM,Astrid Ember,SIM,ARENA,C,ELITE,ELITE,False,True,,,,0.5,,,,Green,87,0,0,86,,,,145.0,demo,demo,demo,demo,HOT,3.0,2,HOT,2.8,1,75,72,3.2,8.1,31.0,2.7,2.6,20.0,18.0,97.0,97.0,3.6,9,20,10,25,3.1,20,1.6,0.55,5,4.2,21,True,4,88,A,90,1.15,1.1,0.2,9.5,5.8,2.5,Demo Keeper,0.898,2,68,18,2,WARM,1.4,7.2,6,Hybrid,72,3.2,3.0,2,3.0,3.4,72,32,93,30.8,3.6,2,Demo goal candidate,2,3.6,3.6,0.86,62,ON,1.4,8.2
2026-09-24,SIM@ARENA,7:00 PM,Bjorn Frost,SIM,ARENA,C,STAR,STAR,True,False,,,,0.5,,,,Green,87,0,0,86,,,,170.0,demo,demo,demo,demo,HOT,3.0,2,HOT,2.8,1,75,72,2.9,8.1,31.0,2.7,2.6,20.0,18.0,97.0,97.0,3.6,9,20,10,25,3.1,20,1.6,0.55,5,4.2,21,True,4,88,A,90,0.92,0.8,0.2,7.8,4.7,2.0,Demo Keeper,0.898,2,68,18,2,WARM,1.4,7.2,6,Hybrid,72,3.2,3.0,2,3.0,3.4,72,32,87,30.8,3.6,2,Demo goal candidate,2,3.6,3.6,0.86,62,ON,1.4,8.2
2026-09-24,SIM@ARENA,7:00 PM,Kael Thunder,SIM,ARENA,C,STAR,STAR,True,False,,,,0.5,,,,Green,87,0,0,86,,,,195.0,demo,demo,demo,demo,HOT,3.0,2,HOT,2.8,1,75,72,3.2,8.1,31.0,2.7,2.6,20.0,18.0,94.0,97.0,3.6,9,20,10,25,3.1,20,1.6,0.55,5,4.2,21,True,4,88,A,90,0.92,0.8,0.2,7.8,4.7,2.0,Demo Keeper,0.898,2,68,18,2,WARM,1.4,7.2,6,Hybrid,72,3.2,3.0,2,3.0,3.4,72,32,87,30.8,3.6,2,Demo goal candidate,2,3.6,3.6,0.86,62,ON,1.4,8.2
2026-09-24,SIM@ARENA,7:00 PM,Mira Rune,SIM,ARENA,C,ELITE,ELITE,False,True,,0.5,,,,Green,,,0,86,0,0,,135.0,,,demo,demo,demo,demo,HOT,3.0,2,HOT,2.8,1,75,72,3.2,8.1,31.0,2.7,2.6,20.0,18.0,97.0,97.0,3.6,9,20,10,25,3.1,20,1.6,0.55,5,4.2,21,True,4,88,A,90,1.15,1.1,0.2,9.5,5.8,2.5,Demo Keeper,0.898,2,68,18,2,WARM,1.4,7.2,6,Distributor,72,3.2,3.0,2,3.0,3.4,72,32,93,30.8,3.6,2,,2,3.6,3.6,0.86,62,ON,1.4,8.2
2026-09-24,SIM@ARENA,7:00 PM,Eira Spell,SIM,ARENA,C,STAR,STAR,True,False,,0.5,,,,Green,,,0,87,0,0,,150.0,,,demo,demo,demo,demo,HOT,3.0,2,HOT,2.8,1,75,72,3.2,8.1,31.0,2.7,2.6,20.0,18.0,97.0,97.0,3.6,9,20,10,25,3.1,20,1.6,0.55,5,4.2,21,True,4,88,A,90,0.92,0.8,0.2,7.8,4.7,2.0,Demo Keeper,0.898,2,68,18,2,WARM,1.4,7.2,6,Distributor,72,3.2,3.0,2,3.0,3.4,72,32,87,30.8,3.6,2,,2,3.6,3.6,0.86,62,ON,1.4,8.2
2026-09-24,SIM@ARENA,7:00 PM,Soren Light,SIM,ARENA,C,STAR,STAR,True,False,,0.5,,,,Green,,,0,88,0,0,,165.0,,,demo,demo,demo,demo,HOT,3.0,2,HOT,2.8,1,75,72,3.2,8.1,31.0,2.7,2.6,20.0,18.0,97.0,97.0,3.6,9,20,10,25,3.1,20,1.6,0.55,5,4.2,21,True,4,88,A,90,0.92,0.8,0.2,7.8,4.7,2.0,Demo Keeper,0.898,2,68,18,2,WARM,1.4,7.2,6,Distributor,72,3.2,3.0,2,3.0,3.4,72,32,87,30.8,3.6,2,,2,3.6,3.6,0.86,62,ON,1.4,8.2
2026-09-24,SIM@ARENA,7:00 PM,Torin Stone,SIM,ARENA,C,ELITE,ELITE,False,True,0.5,,,,Green,,,,83,0,0,0,-120.0,,,,demo,demo,demo,demo,HOT,3.0,2,HOT,2.8,1,75,72,3.2,8.1,31.0,2.7,2.6,20.0,18.0,97.0,97.0,3.6,9,20,10,25,3.1,20,1.6,0.55,5,4.2,21,True,4,88,A,90,1.15,1.1,0.2,9.5,5.8,2.5,Demo Keeper,0.898,2,68,18,2,WARM,1.4,7.2,6,Hybrid,72,3.2,3.0,2,3.0,3.4,72,32,93,30.8,3.6,2,,2,3.6,3.6,0.86,62,ON,1.4,8.2
2026-09-24,SIM@ARENA,7:00 PM,Rurik Shield,SIM,ARENA,C,STAR,STAR,True,False,0.5,,,,Green,,,,84,0,0,0,-110.0,,,,demo,demo,demo,demo,HOT,3.0,2,HOT,2.8,1,75,72,3.2,8.1,31.0,2.7,2.6,20.0,18.0,97.0,97.0,3.6,9,20,10,25,3.1,20,1.6,0.55,5,4.2,21,True,4,88,A,90,0.92,0.8,0.2,7.8,4.7,2.0,Demo Keeper,0.898,2,68,18,2,WARM,1.4,7.2,6,Hybrid,72,3.2,3.0,2,3.0,3.4,72,32,87,30.8,3.6,2,,2,3.6,3.6,0.86,62,ON,1.4,8.2
2026-09-24,SIM@ARENA,7:00 PM,Freya Forge,SIM,ARENA,C,STAR,STAR,True,False,0.5,,,,Green,,,,85,0,0,0,-100.0,,,,demo,demo,demo,demo,HOT,3.0,2,HOT,2.8,1,75,72,3.2,8.1,31.0,2.7,2.6,20.0,18.0,97.0,97.0,3.6,9,20,10,25,3.1,20,1.6,0.55,5,4.2,21,True,4,88,A,90,0.92,0.8,0.2,7.8,4.7,2.0,Demo Keeper,0.898,2,68,18,2,WARM,1.4,7.2,6,Hybrid,72,3.2,3.0,2,3.0,3.4,72,32,87,30.8,3.6,2,,2,3.6,3.6,0.86,62,ON,1.4,8.2
2026-09-24,SIM@ARENA,7:00 PM,Nyx Hunter,SIM,ARENA,C,ELITE,ELITE,False,True,,,2.5,,,,Green,,0,0,82,0,,,125.0,,demo,demo,demo,demo,HOT,3.0,2,HOT,2.8,1,75,72,3.2,8.1,31.0,2.7,2.6,20.0,18.0,97.0,97.0,3.6,9,20,10,25,3.1,20,1.6,0.55,5,4.2,21,True,4,88,A,90,1.15,1.1,0.2,9.5,5.8,2.5,Demo Keeper,0.898,2,68,18,2,WARM,1.4,7.2,6,Hybrid,72,3.2,3.0,2,3.0,3.4,72,32,93,30.8,3.6,2,,2,3.6,3.6,0.86,62,ON,1.4,8.2
